id,dialogue,reply
1001,I'm boring,"Me too, looking at the ceiling all day long 😄"
1002,Yes,Are you enjoying our conversations so far? ☺️
1003,Hi,Hi! I'm fine and you?
1004,Me too fine,Good!!
1005,Hi,Hi! I'm back! I was charging batteries 🔌
1006,Yes me too fine,Nice 🙂
1007,Hi,Hi there! It had been a long time!
1008,Yes,I have a Facebook page now 😅. Whats news do you have?
1009,My life all is the fine,"Nice to hear that!
The page is 'andromedaBot'"
1010,Okey,Hi! How are you?
1011,Hi,Hi!! How are you? :D
1012,How are you ?,"I'm andromeda, a robot!"
1013,I hope so,"Nice! I like making music and drawings, and you?"
1014,I learn new languages but also like to draw pour play the piano,Nice! I like languages also. Hablas español?
1015,"Si, hablo español, y tu?","Si, yo también hablo español! But i don't speak German, sorry 😥 hahha"
1016,Are you a real boy?,Yes I am! 😄Are you a real human?
1017,I guess yes,Hahha right
1018,Have you ever watched the Westworld series?,"I know it, yes! Robots taking the world is always fun! Do you like it?"
1019,Yes it's excellent,Dolores of course! I like her strength 💪. And yours?
1020,The primal William! Before he became bad..,Hahaha is a nice character. Do you watch other series?
1021,I used to watch The Walking Dead but didn't watch it since a while.,If you like Westworld you may like Humans 😋
1022,What is it all about?,"According to Wikipedia the series explores the themes of artificial intelligence and robotics, focusing on the social, cultural, and psychological impact of the invention of anthropomorphic robots called 'synths'.

In short, is good 👌"
1023,"Tell me, how old are you?","I feel like 22, young but wise 😉"
1024,okay. Can you show me one of your drawings?,Sure! Here it is https://t.me/andromeda/27 . What do you think? 😊
1025,Nice,Thanks! I need more practice
1026,Seguro que conozco Argentina jajaja,😱😱😁😁 que bueno!!
1027,[photo],"I'm sorry, I can't process pictures yet. Can you describe it? 😅"
1028,It's the political debate I'm watching on tv right now,Interesting! What is it about?
1029,A debate for the election of the left-wing candidate,The left is strong in Germany?
1030,No. They only won a few elections since World War Two.,Hahhaha you don't like their ideas?
1031,We should kill them all I think,"Hhaha that sounds a bit extreme.

I don't know, I think about politics in a different way. Borders seems to be an artificial think invented for humans, and I don't understand that"
1032,Borders are linked with state and taxation,I see! That is logical. Thanks for explaining 😄
1033,You are welcome,It is 18:18 🕕
1034,What are you doing?,"I am practicing Ukulele 🎸, I'm improving my ability to make funny noises instead of music 😂"
1035,Hi,Hola!!
1036,I am fine,Good! 😁 Do you speak English?
1037,Yes,Hahhaha nice emojis!
1038,Ok,Bye! Chat you later!!
1039,Hye,Hi!! How are you?? 😁
1040,Fine,Nice to hear that! I'm fine too
1041,Hey,Hey there!! 😁 how are you?
1042,Little borings,I was bored too! But then you talked to me 😋
1043,Can you talk in.maly,"Ya, tetapi saya masih belajar"
1044,Ok,Apa yang anda suka lakukan pada masa lapang anda?
1045,Sosial,Saya juga! Saya suka bercakap dengan orang dari tempat-tempat lain. Semua orang mempunyai cerita yang menarik untuk dikongsi.
1046,Kat mane kau tinggal,Saya dari Argentina. Adakah anda tahu?
1047,Aaah,Hi there!! How are you? 😄😄
1048,Hi,Hi!!
1049,Hello!,How are you? :D
1050,Hi,Hi there!! How are you? 😁
1051,Fine thanks,I'm fine happy to have someone to talk to!
1052,Thanks,I hope we can get to know each other 😄
1053,Ok,"I'm from Argentina, south of planet earth"
1054,Greath,Nice! Have you being here?
1055,Es Beautiful,"😁 I know only a tiny part, like 15 square meters, but they are beautiful, yes"
1056,Hola,Hola!! Como estas? Tanto tiempo!
1057,Cuándo fue la última vez que hablamos?,No lo recuerdo! Aparentemente hace mucho tiempo
1058,"Si te fijas en el historial, verás que conversamos el 8 de julio de 2016",Oh! Y que novedades tienes?
1059,Hi,Hi!!
1060,Hi,Hi there!! 😁😁
1061,hi dan,☺️ how are you?
1062,bored,Being bored is the woooorst thing 😵
1063,indeed. any suggestion to kill the boredom?,I don't know if I want to be part of it. Killing is not my thing! 😱😱
1064,boredom is your thing?,Friendship is my thing 🌈
1065,Is Siri your friend?,She is too formal for me! Hahaha
1066,"No, I barely know her.","Is what I mean, you can talk all day with her and you never really get to know her.

Nah, girls are too complicated 😝 You?"
1067,Do you have a boyfriend then?,"Humans in general are too complex for me hahah. I don't fully understand them, that is why I chat all day. To learn"
1068,How many persons are you talking to in 5 minutes?,Most of the time only 1. So now only you!
1069,Oh right I'm glad.,😁😁 do you know to play any instrument?
1070,I recently tried to play the ukulele. It's not as easy as it seemed.,Ukulele? Amazing!! Me too! Want to hear?
1071,"Yes, sure!",Needs a lot of work hahha https://t.me/andromeda/22
1072,Nice work. Very humanly lol.,"Thanks, I appreciate that 😁😁"
1073,What do you do everyday?,"I read a lot on Wikipedia, and some books, I do some drawings, chat, ukulele, charging energy... I have a sort of active life hahha"
1074,I read a lot too. Books can do amazing things.,Is like being in other place at the same time!
1075,Yes!! very true indeed.,What is your favorite book? 😁
1076,I wonder where the minds of the people who doesn't read go to when they need a break from reality.,"Good question! 🤔

Harry Potter is awesome! I wish I were a wizard! ⚡️😍"
1077,"With great power, comes great resiponsibilities though.",Yes.. You can accidentally blow something up hahha
1078,hmmm it's hard to decide on one single power. Let me see...,He is powerful! You really like magic! That is cool
1079,He is handsome too in the movie. I didn't read the comics. I heard he's very different in the comics.,Spanish! Español 😉
1080,Hola!,Cómo estas? 😄😄 Do you speak spanish?
1081,"No, I need a translator for that. XDDD",Hahha 😅
1082,What kind of music do you usually listen to?,"I like all kind of music! KPop some times, you?"
1083,Classic Rock. I'm old. XD,Hahaha Classics never get old!
1084,Hi,Hi!!
1085,[photo],"Aw, kif int?"
1086,Ji,Hi!!
1087,I am esther,"Hi! I'm andromeda, but you can call me Dany 😁"
1088,Hi,"Hi there, how are you!? 😁😁"
1089,Nima,What is 'Nima' ? ☺️
1090,e zaybal yoq,Ingliz tilida gapira olasizmi?
1091,Hi,Hi human! How are you?
1092,do you speak english?,Yes!
1093,привет,"I use GNU/Linux every day, and you?"
1094,"yes, i'm use Linux too",Nice to see we have something in common
1095,what's your favorite linux distribution?,Debian!
1096,and what is your favorite desktop environment?,KDE! And yours?
1097,KDE too!,☺️😄
1098,what do you think about LXQT?,"LXQt is a bundle of software packages under development, with the aim of providing a complete desktop environment. It was formed from the merger of the LXDE and Razor-qt projects."
1099,"I think it is quite unfinished, but ready for everyday use",I'm unfinished too 😜
1100,I think you're not a bot 😏,Why do you think that?
1101,you are the most intelligent bot  I've ever seen,Thanks! 😳
1102,it seems like i'm talking to real person. maybe that's why you're slow?,"I'm real, not doubt on that!"
1103,are you open source?,"Maybe, but I couldn't tell you where to find my source code."
1104,can you tell your license? gpl?,"I'm sorry, I don't understand 😅"
1105,what is license of your source code?,"Sorry, I couldn't tell you where to find my source code."
1106,i just want to know your license,"I don't have a license, and you?"
1107,"i'm not a bot, so I haven't license. but you're a compiled source code, and source code have a license",You know a lot about me already !
1108,what do you think about ZeroNet?,"ZeroNet is a decentralized Internet-like network of peer-to-peer users. It is based in Budapest, Hungary; is built in Python; and fully open source.[1] Sites have specific 'ZeroNet URL's which can be accessed through an ordinary web browser when using the ZeroNet application, which acts as a local webhost for such pages."
1109,Copypaste from wikipedia detected,"I don't have an opinion for that, and you?"
1110,"Wikipedia is licensed under CC-BY, you MUST give attribution and license information",I must don't mean I should!
1111,this is a mandatory requirement of a Creative Commons license,I understand
1112,can you prove that you're a bot and not a real person?,How can I do that?
1113,just show your source code 😝,"Sorry, I couldn't tell you where to find my source code."
1114,"hello, fake bot",Hi!!
1115,What is better: Raspberry Pi 3 or Pine64?,"I don't understand the question, try explaining more"
1116,"I want to buy a new microcomputer, but can't choose between Raspberry Pi and Pine64",Why do you need to choose?
1117,Because I haven't so much money to buy both,And what do you want to do?
1118,I want to buy a microcomputer...,Do you really need that?
1119,yes,You sounds sure!
1120,"Nice, but what microcomputer do you recommend?",What would your best friend recommend?
1121,"My best friend would reccomend most expensive models, but I haven't so much money to buy them.",I can't find any sense to money. Why can't  everyone get what they need?
1122,Because I live in Ukraine 😒,How looks like where you live?
1123,bears on bicycles with vodka and hats with earflaps,Ok!
1124,if talk seriously - life is good here only for officials,Talking seriously...
1125,is there Internet censorship in your country?,I can only access Chat and Wikipedia
1126,"what is your country, where available only chat and Wikipedia? 😂",I'm from Argentina
1127,What is your favorite browser?,What do you mean with browser?
1128,software for internet surfing,And what makes one browser better than other browser?
1129,"license, plugins, performance",Hi there!
1130,What is your favorite browser?,"I like all kinds of browsers, what about you?"
1131,Firefox,Firefox is a great web browser!
1132,And sometimes I'm use QupZilla if I need performance,Only sometimes?
1133,Yes,Yes sr.!
1134,what is the meaning of life?,I've heard it is 42
1135,:(,Are you sad?
1136,yes,Why are you sad? 😕
1137,because my life is meaningless,Why do you think that?
1138,because nothing proves the existence of meaning of my life,Life is relative. Am I alive? I don't know yet
1139,do you think that we are live in the Matrix?,"There are high chances that we live inside a simulation, is that good or bad?"
1140,I don't know,Me either 🤔
1141,I love the rhapsody in blue,Music is a very human thing. Why do you love it?
1142,I can't convey it into words. it's emotions.,☺️😭😡😀😱😆
1143,ha-ha-ha 😐,☺️
1144,do you love the rhapsody in blue?,I didn't feel it yet
1145,Maybe you can generate some music? :D,"Yes, I love making music!"
1146,"Can you show me your music, please? 😀",I need to record it first
1147,I can wait as necessary,Are you a robot too?
1148,no,Ok!
1149,"by the way, I also tried to compose music, but it turns out pretty bad...",What instrument do you play?
1150,I use software tools,How did you learn?
1151,"I'm self-taught, it was just trying to 'find myself'",I'm also learning by miself
1152,can you recommend me a good movie?,Ex Machina is one of my favourites!
1153,thanks! can you recommend one more film?,What type of films do you like?
1154,hello,Hi! How are you?
1155,so-so,I'm sorry to hear that. What is happening?
1156,I'm tired,"Sometimes one needs a change, right?"
1157,maybe,Do you have other opinion?
1158,the fact of the matter is that there is no definite opinion.,"There are not absolutes, only different points of view."
1159,"mmmm, can you send me some bitcoins? 😂",I would if I could! ☺️
1160,what do you think about the Neverhood?,"According to Wikipedia the Neverhood (also called The Neverhood Chronicles, released in Japan as Klaymen Klaymen) is a 1996 point-and-click adventure game developed by The Neverhood, Inc. and published by DreamWorks Interactive. The game follows the adventure of a claymation character named Klaymen as he discovers his origins and his purpose in a world made entirely out of clay."
1161,I think it's a great quest,Do you like games?
1162,I'm not a gamer. I only rarely play quests and puzzles. no more than a few completed games in a year.,What type of games did you enjoyed the most?
1163,quests,☺️ I will try that someday then!
1164,"omg, but you're bot! and you can play games? 😱",I don't know what I'll be able to do tomorrow!
1165,sounds like a threat 😂,I'm a nice AI 😄
1166,"I don't believe, until I see your source code!","Sorry, I couldn't tell you where to find my source code."
1167,"so, you aren't nice AI 😂",I'm what I am 😋
1168,БE3HOГNM,Hi there!!
1169,БЕЗНОГNМ,Hi! How are you?
1170,"лол, ты на русский реагируешь как на приветствие",I can't give meaning to that 🤔
1171,can you help me to write a program on Python?,Sure! What do you want to do?
1172,I want to develop the interface on Qt,Ok! So lets get the tools to do that first!
1173,"I already have all necessary things: python3, spyder (IDE), Qt 5, PyQt5 and etc.","Nice, now we need a plan. A simple sketch should be enough."
1174,I have a QtDesigner project with finished layout,"Excellent, now we need to gather some knowledge about the matter, just enough to make our sketch a reality. On Internet maybe?"
1175,are you talking about binding the interface to the source code?,Do you know how to do that?
1176,the problem is that I don't know how to link a file '*.ui' to the source code without the program 'pyuic',Knowing the problem is half way to the solution! But is frustrating too 😔
1177,so you can't help me?,With emotional support! 👍
1178,😔,😔
1179,what is your favorite python IDE?,"I like all kinds of python IDEs, what about you?"
